libxcb-glx0:amd64	1.15-1
libxcb-present0:amd64	1.15-1
libxcb-randr0:amd64	1.15-1
libxcb-render0:amd64	1.15-1
libxcb-shape0:amd64	1.15-1
libxcb-shm0:amd64	1.15-1
libxcb-sync1:amd64	1.15-1
libxcb-util1:amd64	0.4.0-1+b1
libxcb-xfixes0:amd64	1.15-1
libxcb1:amd64	1.15-1
libxcomposite1:amd64	1:0.4.5-1
libxcursor1:amd64	1:1.2.1-1
libxcvt0:amd64	0.1.2-1
libxdamage1:amd64	1:1.1.6-1
libxdmcp6:amd64	1:1.1.2-3
libxext6:amd64	2:1.3.4-1+b1
libxfce4panel-2.0-4	4.18.2-1
libxfce4ui-2-0:amd64	4.18.2-2
libxfce4ui-common	4.18.2-2
libxfce4ui-utils	4.18.2-2
libxfce4util-bin	4.18.1-2
libxfce4util-common	4.18.1-2
libxfce4util7:amd64	4.18.1-2
libxfconf-0-3:amd64	4.18.0-2
libxfixes3:amd64	1:6.0.0-2
libxfont2:amd64	1:2.0.6-1
libxft2:amd64	2.3.6-1
libxi6:amd64	2:1.8-1+b1
libxinerama1:amd64	2:1.1.4-3
libxkbcommon0:amd64	1.5.0-1
libxkbfile1:amd64	1:1.1.0-1
libxklavier16:amd64	5.4-4
libxml-parser-perl	2.46-4+deb12u1
libxml-twig-perl	1:3.52-2
libxml-xpathengine-perl	0.14-2
libxml2:amd64	2.9.14+dfsg-1.3~deb12u5
libxmu6:amd64	2:1.1.3-3
libxmuu1:amd64	2:1.1.3-3
libxnvctrl0:amd64	525.85.05-3~deb12u1
libxpm4:amd64	1:3.5.12-1.1+deb12u1
libxpresent1:amd64	1.0.0-2+b10
libxrandr2:amd64	2:1.5.2-2+b1
libxrender1:amd64	1:0.9.10-1.1
libxres1:amd64	2:1.2.1-1
libxshmfence1:amd64	1.3-1
libxss1:amd64	1:1.2.3-1
libxt6:amd64	1:1.2.1-1.1
libxtables12:amd64	1.8.9-2
libxtst6:amd64	2:1.2.3-1.1
libxv1:amd64	2:1.0.11-1.1
libxvidcore4:amd64	2:1.3.7-1
libxxf86dga1:amd64	2:1.1.5-1
libxxf86vm1:amd64	1:1.1.4-1+b2
libxxhash0:amd64	0.8.1-1
libyaml-0-2:amd64	0.2.5-1
libyuv0:amd64	0.0~git20230123.b2528b0-1
libz3-4:amd64	4.8.12-3.1
libzstd1:amd64	1.5.4+dfsg2-5
libzvbi-common	0.2.41-1
libzvbi0:amd64	0.2.41-1
linux-base	4.9
linux-image-6.1.0-43-cloud-amd64	6.1.162-1
linux-image-6.1.0-44-cloud-amd64	6.1.164-1
linux-image-cloud-amd64	6.1.164-1
linux-libc-dev:amd64	6.1.164-1
login	1:4.13+dfsg1-1+deb12u2
logrotate	3.21.0-1
logsave	1.47.0-2+b2
lsb-release	12.0-1
lsof	4.95.0-1
make	4.3-4.1
man-db	2.11.2-2
manpages	6.03-2
manpages-dev	6.03-2
mawk	1.3.4.20200120-3.1
media-types	10.0.0
mesa-va-drivers:amd64	22.3.6-1+deb12u1
mesa-vdpau-drivers:amd64	22.3.6-1+deb12u1
mesa-vulkan-drivers:amd64	22.3.6-1+deb12u1
miscfiles	1.5+dfsg-4
mokutil	0.6.0-2
mount	2.38.1-5+deb12u3
nano	7.2-1+deb12u1
ncurses-base	6.4-4
ncurses-bin	6.4-4
net-tools	2.10-0.1+deb12u2
netbase	6.4
netplan.io	0.106-2+deb12u1
networkd-dispatcher	2.2.3-1
nftables	1.0.6-2+deb12u2
nodejs	22.22.1-1nodesource1
notification-daemon	3.20.0-4+b1
ntfs-3g	1:2022.10.3-1+deb12u2
nvme-cli	2.4+really2.3-3
ocl-icd-libopencl1:amd64	2.3.1-1
openssh-client	1:9.2p1-2+deb12u7
openssh-server	1:9.2p1-2+deb12u7
openssh-sftp-server	1:9.2p1-2+deb12u7
openssl	3.0.18-1~deb12u2
os-prober	1.81
parted	3.5-3
passwd	1:4.13+dfsg1-1+deb12u2
patch	2.7.6-7
pavucontrol	5.0-2
pci.ids	0.0~2023.04.11-1
pciutils	1:3.9.0-4
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3
perl-openssl-defaults:amd64	7+b1
pigz	2.6-1
pinentry-curses	1.2.1-1
pipewire:amd64	0.3.65-3+deb12u1
pipewire-bin	0.3.65-3+deb12u1
pipewire-pulse	0.3.65-3+deb12u1
pkexec	122-3
pkg-config:amd64	1.8.1-1
pkgconf:amd64	1.8.1-1
pkgconf-bin	1.8.1-1
plymouth	22.02.122-3
plymouth-label	22.02.122-3
policykit-1-gnome	0.105-8
polkitd	122-3
poppler-data	0.4.12-1
procps	2:4.0.2-3
psmisc	23.6-1
publicsuffix	20230209.2326-1
pulseaudio	16.1+dfsg1-2+b1
pulseaudio-utils	16.1+dfsg1-2+b1
python-apt-common	2.6.0
python3	3.11.2-1+b1
python3-apt	2.6.0
python3-cairo:amd64	1.20.1-5+b1
python3-certifi	2022.9.24-1
python3-chardet	5.1.0+dfsg-2
python3-charset-normalizer	3.0.1-2
python3-cups:amd64	2.0.1-5+b4
python3-cupshelpers	1.5.18-1
python3-dbus	1.3.2-4+b1
python3-debconf	1.5.82
python3-debian	0.1.49
python3-debianbts	4.0.1
python3-dev	3.11.2-1+b1
python3-distro	1.8.0-1
python3-distro-info	1.5+deb12u1
python3-distutils	3.11.2-3
python3-gi	3.42.2-3+b1
python3-httplib2	0.20.4-3
python3-idna	3.3-1+deb12u1
python3-lib2to3	3.11.2-3
python3-markdown-it	2.1.0-5
python3-mdurl	0.1.2-1
python3-minimal	3.11.2-1+b1
python3-netifaces:amd64	0.11.0-2+b1
python3-packaging	23.0-1
python3-pip	23.0.1+dfsg-1
python3-pip-whl	23.0.1+dfsg-1
python3-pkg-resources	66.1.1-1+deb12u2
python3-psutil	5.9.4-1+b1
python3-pycurl	7.45.2-3
python3-pygments	2.14.0+dfsg-1
python3-pyparsing	3.0.9-1
python3-pysimplesoap	1.16.2-5
python3-reportbug	12.0.0
python3-requests	2.28.1+dfsg-1
python3-rich	13.3.1-1
python3-setuptools	66.1.1-1+deb12u2
python3-setuptools-whl	66.1.1-1+deb12u2
python3-six	1.16.0-4
python3-smbc	1.0.23-2+b4
python3-urllib3	1.26.12-1+deb12u3
python3-venv	3.11.2-1+b1
python3-wheel	0.38.4-2
python3-xdg	0.28-2
python3-yaml	6.0-3+b2
python3.11	3.11.2-6+deb12u6
python3.11-dev	3.11.2-6+deb12u6
python3.11-minimal	3.11.2-6+deb12u6
python3.11-venv	3.11.2-6+deb12u6
readline-common	8.2-1.3
reportbug	12.0.0
rpcsvc-proto	1.4.3-1
rsyslog	8.2302.0-1+deb12u1
rtkit	0.13-5
runit-helper	2.15.2
samba-libs:amd64	2:4.17.12+dfsg-0+deb12u3
sane-airscan	0.99.27-1+b1
sane-utils	1.2.1-2
screen	4.9.0-4
sed	4.9-1
sensible-utils	0.0.17+nmu1
sgml-base	1.31
shared-mime-info	2.2-1
shim-helpers-amd64-signed	1+15.8+1~deb12u1
shim-signed:amd64	1.44~1+deb12u1+15.8-1~deb12u1
shim-signed-common	1.44~1+deb12u1+15.8-1~deb12u1
shim-unsigned:amd64	15.8-1~deb12u1
slirp4netns	1.2.0-1
socat	1.7.4.4-2
sound-theme-freedesktop	0.8-2
ssh-import-id	5.10-1
sudo	1.9.13p3-1+deb12u3
system-config-printer	1.5.18-1
system-config-printer-common	1.5.18-1
system-config-printer-udev	1.5.18-1
systemd	252.39-1~deb12u1
systemd-resolved	252.39-1~deb12u1
systemd-sysv	252.39-1~deb12u1
systemd-timesyncd	252.39-1~deb12u1
sysvinit-utils	3.06-4
tango-icon-theme	0.8.90-11
tar	1.34+dfsg-1.2+deb12u1
tcpdump	4.99.3-1
thunar	4.18.4-1
thunar-data	4.18.4-1
thunar-volman	4.18.0-1
traceroute	1:2.1.2-1
tumbler:amd64	4.18.0-1
tumbler-common	4.18.0-1
tzdata	2025b-0+deb12u2
ucf	3.0043+nmu1+deb12u1
udev	252.39-1~deb12u1
udisks2	2.9.4-4+deb12u2
unattended-upgrades	2.9.1+nmu3
update-inetd	4.53
upower	0.99.20-2
usb.ids	2025.07.26-0+deb12u1
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
uuid-runtime	2.38.1-5+deb12u3
va-driver-all:amd64	2.17.0-1
vdpau-driver-all:amd64	1.5-2
vim	2:9.0.1378-2+deb12u2
vim-common	2:9.0.1378-2+deb12u2
vim-runtime	2:9.0.1378-2+deb12u2
vim-tiny	2:9.0.1378-2+deb12u2
wget	1.21.3-1+deb12u1
whiptail	0.52.23-1+b1
wireplumber	0.4.13-1
x11-apps	7.7+9
x11-common	1:7.7+23
x11-session-utils	7.7+5
x11-utils	7.7+5
x11-xkb-utils	7.7+7
x11-xserver-utils	7.7+9+b1
xauth	1:1.1.2-1
xbase-clients	1:7.7+23
xbitmaps	1.1.1-2.2
xcvt	0.1.2-1
xdg-user-dirs	0.18-1
xdg-utils	1.1.3-4.1
xfce4	4.18
xfce4-appfinder	4.18.0-1
xfce4-helpers	4.18.2-1
xfce4-notifyd	0.7.3-1
xfce4-panel	4.18.2-1
xfce4-pulseaudio-plugin:amd64	0.4.5-1
xfce4-session	4.18.1-1
xfce4-settings	4.18.2-1
xfconf	4.18.0-2
xfdesktop4	4.18.1-1
xfdesktop4-data	4.18.1-1
xfonts-100dpi	1:1.0.5
xfonts-75dpi	1:1.0.5
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.4-2.2
xfonts-scalable	1:1.0.3-1.3
xfonts-utils	1:7.7+6
xfwm4	4.18.0-1
xiccd	0.3.0-2
xinit	1.4.0-1
xkb-data	2.35.1-1
xml-core	0.18+nmu1
xorg	1:7.7+23
xorg-docs-core	1:1.7.1-1.2
xscreensaver	6.06+dfsg1-3+deb12u1
xscreensaver-data	6.06+dfsg1-3+deb12u1
xserver-common	2:21.1.7-3+deb12u11
xserver-xorg	1:7.7+23
xserver-xorg-core	2:21.1.7-3+deb12u11
xserver-xorg-input-all	1:7.7+23
xserver-xorg-input-libinput	1.2.1-1+b1
xserver-xorg-input-wacom	1.1.0-1
xserver-xorg-legacy	2:21.1.7-3+deb12u11
xserver-xorg-video-dummy	1:0.4.0-1
xvfb	2:21.1.7-3+deb12u11
xz-utils	5.4.1-1
zlib1g:amd64	1:1.2.13.dfsg-1
zlib1g-dev:amd64	1:1.2.13.dfsg-1
zstd	1.5.4+dfsg2-5
zutty	0.14.0.20230218+dfsg1-1
